movie_title,year,rating
56. Django Unchained,2012,8.5
57. Memento,2000,8.4
58. WALL·E,2008,8.4
59. Raiders of the Lost Ark,1981,8.4
60. The Lives of Others,2006,8.4
61. Sunset Blvd.,1950,8.4
62. Paths of Glory,1957,8.4
63. Avengers: Infinity War,2018,8.4
64. Spider-Man: Into the Spider-Verse,2018,8.4
65. The Shining,1980,8.4
66. Witness for the Prosecution,1957,8.4
67. The Great Dictator,1940,8.4
68. Aliens,1986,8.4
69. Inglourious Basterds,2009,8.4
70. The Dark Knight Rises,2012,8.4
71. American Beauty,1999,8.3
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
73. Oldboy,2003,8.3
74. Coco,2017,8.4
75. Amadeus,1984,8.4
76. Toy Story,1995,8.3
77. The Boat,1981,8.4
78. Braveheart,1995,8.3
79. Avengers: Endgame,2019,8.4
80. Joker,2019,8.4
81. Oppenheimer,2023,8.4
82. Princess Mononoke,1997,8.3
83. Good Will Hunting,1997,8.3
84. Your Name.,2016,8.4
85. Once Upon a Time in America,1984,8.3
86. High and Low,1963,8.4
87. 3 Idiots,2009,8.4
88. Singin' in the Rain,1952,8.3
89. Capernaum,2018,8.4
90. Requiem for a Dream,2000,8.3
91. Come and See,1985,8.4
92. Toy Story 3,2010,8.3
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3
94. Eternal Sunshine of the Spotless Mind,2004,8.3
95. The Hunt,2012,8.3
96. 2001: A Space Odyssey,1968,8.3
97. Poor Things,2023,8.4
98. Reservoir Dogs,1992,8.3
99. Ikiru,1952,8.3
100. Lawrence of Arabia,1962,8.3
101. The Apartment,1960,8.3
102. Citizen Kane,1941,8.3
103. North by Northwest,1959,8.3
104. M,1931,8.3
105. Vertigo,1958,8.3
106. Double Indemnity,1944,8.3
107. Scarface,1983,8.3
108. Amélie,2001,8.3
109. Incendies,2010,8.3
110. Full Metal Jacket,1987,8.3
111. A Clockwork Orange,1971,8.3
112. Heat,1995,8.3
113. Up,2009,8.3
114. To Kill a Mockingbird,1962,8.3
115. The Sting,1973,8.3
116. A Separation,2011,8.3
117. Indiana Jones and the Last Crusade,1989,8.2
118. Die Hard,1988,8.2
119. Hamilton,2020,8.3
120. Metropolis,1927,8.3
121. Like Stars on Earth,2007,8.3
122. Snatch,2000,8.2
123. Bicycle Thieves,1948,8.3
124. L.A. Confidential,1997,8.2
125. 1917,2019,8.2
126. Taxi Driver,1976,8.2
127. Downfall,2004,8.2
128. Dangal,2016,8.3
129. For a Few Dollars More,1965,8.2
130. Batman Begins,2005,8.2
131. Some Like It Hot,1959,8.2
132. The Wolf of Wall Street,2013,8.2
133. The Kid,1921,8.2
134. Green Book,2018,8.2
135. The Father,2020,8.2
136. Top Gun: Maverick,2022,8.3
137. Judgment at Nuremberg,1961,8.3
138. All About Eve,1950,8.2
139. The Truman Show,1998,8.2
140. There Will Be Blood,2007,8.2
141. Shutter Island,2010,8.2
142. Casino,1995,8.2
143. Ran,1985,8.2
144. Jurassic Park,1993,8.2
145. The Sixth Sense,1999,8.2
146. Pan's Labyrinth,2006,8.2
147. Unforgiven,1992,8.2
148. A Beautiful Mind,2001,8.2
149. No Country for Old Men,2007,8.2
150. The Treasure of the Sierra Madre,1948,8.2
151. Yojimbo,1961,8.2
152. The Thing,1982,8.2
153. Kill Bill: Vol. 1,2003,8.2
154. Monty Python and the Holy Grail,1975,8.2
155. The Great Escape,1963,8.2
156. Finding Nemo,2003,8.2
157. Rashomon,1950,8.2
158. The Elephant Man,1980,8.2
159. Howl's Moving Castle,2004,8.2
160. Chinatown,1974,8.1
161. Prisoners,2013,8.1
162. Dial M for Murder,1954,8.2
163. Gone with the Wind,1939,8.2
164. V for Vendetta,2005,8.2
"165. Lock, Stock and Two Smoking Barrels",1998,8.1
166. The Secret in Their Eyes,2009,8.2
167. Raging Bull,1980,8.1
168. Inside Out,2015,8.1
"169. Three Billboards Outside Ebbing, Missouri",2017,8.1
170. Trainspotting,1996,8.1
171. The Bridge on the River Kwai,1957,8.1
172. Spider-Man: No Way Home,2021,8.2
173. Fargo,1996,8.1
174. Godzilla Minus One,2023,8.3
175. Warrior,2011,8.1
176. Klaus,2019,8.2
177. Catch Me If You Can,2002,8.1
178. Gran Torino,2008,8.1
179. My Neighbor Totoro,1988,8.1
180. Million Dollar Baby,2004,8.1
181. Harry Potter and the Deathly Hallows: Part 2,2011,8.1
182. Children of Heaven,1997,8.2
183. 12 Years a Slave,2013,8.1
184. Blade Runner,1982,8.1
185. Before Sunrise,1995,8.1
186. The Grand Budapest Hotel,2014,8.1
187. Ben-Hur,1959,8.1
188. Barry Lyndon,1975,8.1
189. Gone Girl,2014,8.1
190. The Gold Rush,1925,8.1
191. Hacksaw Ridge,2016,8.1
192. In the Name of the Father,1993,8.1
193. Memories of Murder,2003,8.1
194. On the Waterfront,1954,8.1
195. The General,1926,8.1
196. The Deer Hunter,1978,8.1
197. Dead Poets Society,1989,8.1
198. Wild Tales,2014,8.1
199. Mad Max: Fury Road,2015,8.1
200. Wild Strawberries,1957,8.1
201. Sherlock Jr.,1924,8.2
202. The Third Man,1949,8.1
203. The Wages of Fear,1953,8.2
"204. Monsters, Inc.",2001,8.1
205. Jaws,1975,8.1
206. How to Train Your Dragon,2010,8.1
207. Mr. Smith Goes to Washington,1939,8.1
208. Mary and Max,2009,8.1
209. Ford v Ferrari,2019,8.1
210. Ratatouille,2007,8.1
211. The Seventh Seal,1957,8.1
212. Room,2015,8.1
213. The Big Lebowski,1998,8.1
214. Tokyo Story,1953,8.1
215. Rocky,1976,8.1
216. Hotel Rwanda,2004,8.1
217. Logan,2017,8.1
218. Spotlight,2015,8.1
219. Platoon,1986,8.1
220. The Terminator,1984,8.1
221. The Passion of Joan of Arc,1928,8.1
222. Jai Bhim,2021,8.7
223. Before Sunset,2004,8.1
224. The Best Years of Our Lives,1946,8.1
225. La haine,1995,8.1
226. Rush,2013,8.1
227. The Exorcist,1973,8.1
228. Network,1976,8.1
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
230. Stand by Me,1986,8.1
231. The Wizard of Oz,1939,8.1
232. The Incredibles,2004,8.0
233. Into the Wild,2007,8.1
234. Hachi: A Dog's Tale,2009,8.1
235. The Handmaiden,2016,8.1
236. To Be or Not to Be,1942,8.1
237. My Father and My Son,2005,8.2
238. Groundhog Day,1993,8.0
239. The Grapes of Wrath,1940,8.1
240. The Battle of Algiers,1966,8.1
241. The Sound of Music,1965,8.1
242. Amores Perros,2000,8.1
243. Rebecca,1940,8.1
244. Cool Hand Luke,1967,8.1
245. The Iron Giant,1999,8.1
246. The Help,2011,8.1
247. It Happened One Night,1934,8.1
248. The 400 Blows,1959,8.1
249. Aladdin,1992,8.0
250. Dances with Wolves,1990,8.0
